year,Var,EM_CO2_2100_cut,sd0,sd25,sd05,sd75,sd100,mean,sd,obs
2100,BECCS,"(175,500]",-950.2019793459469,-604.3654155883277,-334.0581034,-281.61396832516607,0,-431.04414999615256,209.0593518049919,110
2100,BECCS,"(500,825]",-924.0461250178738,-482.9723441,-303.059482,-260.3819641928444,0,-372.4535419276086,160.2098857524688,215
2100,BECCS,"(825,1150]",-1057.8595388222725,-427.36131880000005,-297.8485409754733,-239.78343540998426,0,-337.9196269078764,156.22458659011937,192
2100,BECCS,"(1150,1475]",-635.1437299721679,-387.460342775,-260.6845608,-197.53967364762752,0,-301.4134225973278,144.06248933324466,87
2100,Land: Afforestation,"(175,500]",-418.42033314535075,-241.93356882804767,-208.05457038288682,-50.3685851875,-16.6688878,-190.3648241225707,117.1486315339334,48
2100,Land: Afforestation,"(500,825]",-422.06902844999996,-222.67120076909376,-216.5194906033517,-204.3858897121487,-5.6471574,-190.0314495926942,90.79842399459334,100
2100,Land: Afforestation,"(825,1150]",-429.6388974977703,-219.0715997051445,-214.7038426741889,-58.249401250000005,-5.9619651000000005,-172.58290575942522,101.02036057990436,73
2100,Land: Afforestation,"(1150,1475]",-280.40280359999997,-214.85958520257788,-212.3699009858552,-208.66279700354,-20.1216225,-178.29934688651753,77.5658079870105,43
2100,Land: Biochar,"(175,500]",-164.678495,-82.3392475,0,0,0,-54.892831666666666,95.07717341799244,3
2100,Land: Soil Carbon,"(175,500]",-75.943906,-37.971953,0,0,0,-25.31463533333333,43.84623457241163,3
2100,DACCS,"(175,500]",-983.8105240173339,-237.26475315168616,-182.9194938,-0.6357898,0,-177.08781536176224,189.53285364980957,49
2100,DACCS,"(500,825]",-405.3949049987793,-165.52976408895265,-32.98194445,0,0,-90.64684478684968,101.8662859373473,103
2100,DACCS,"(825,1150]",-402.453395904541,-119.63358004379272,-18.181593799999998,0,0,-57.54833498519036,78.81170420126065,69
2100,DACCS,"(1150,1475]",-138.42022979354857,-20.798497691287277,-2.5069464999999997,-3.000893374581777e-4,0,-20.666264613878774,41.149241360357024,20
2100,Enhanced Weathering,"(175,500]",-145.74652129999998,0,0,0,0,-18.44753786,45.559258562434636,20
2100,Enhanced Weathering,"(500,825]",0,0,0,0,0,0,0,49
2100,Enhanced Weathering,"(825,1150]",-53.4509786,0,0,0,0,-1.4847494055555555,8.908496433333333,36
2100,Enhanced Weathering,"(1150,1475]",0,0,0,0,0,0,0,8
2100,Total Carbon,"[175, 1475]",175.13825431249998,562.5419321918478,765.4891695269807,966.3407855756292,1470.505891577925,785.4587600993589,298.2596883835191,604
2100,FFI (excl. BECCS),"[175, 1475]",528.665435,1048.3771538802903,1241.2991460262106,1452.9822777152228,2007.9868216060074,1246.5492979690337,289.3459508011433,604
2100,LULUCF & BECCS,"[175, 1475]",-1190.5953528211696,-561.7210028670909,-453.9622155051568,-348.01930710728504,295.9816868040385,-461.0905378696747,191.29161800420965,604
2100,LULUCF,"[175, 1475]",-688.0088136093088,-190.61529133337694,-115.08115847800491,-8.915137212500005,522.3706500000001,-99.17678928309785,119.50513002989311,604
2100,BECCS,"[175, 1475]",-1057.8595388222725,-454.1262939105889,-305.7870869240097,-245.79429779155237,0,-361.91374858657684,171.23920299313735,604
2100,Land: Afforestation,"[175, 1475]",-429.6388974977703,-220.53094520266782,-213.00243131695626,-152.801979275,-5.6471574,-183.3563657337542,96.81338921309961,264
2100,Land: Biochar,"[175, 1475]",-164.678495,-82.3392475,0,0,0,-54.892831666666666,95.07717341799244,3
2100,Land: Soil Carbon,"[175, 1475]",-75.943906,-37.971953,0,0,0,-25.31463533333333,43.84623457241163,3
2100,DACCS,"[175, 1475]",-983.8105240173339,-162.30137288105945,-29.499391250000002,0,0,-92.93812602501069,125.42689155232027,241
