"","year","LandSupply","LCT","Mha","GtCO2","CDR","sector","method","LandEndYear"
"73",2050,"Low-Bioenergy","50%-LCP",78.1027021740627,-0.183813320810449,-2.35348221884559,"Land-based BECCS","Method1",124.829900099953
"74",2050,"Low-Bioenergy","50%-LCP",117.060029223649,-2.00756689534336,-17.1498923130099,"LULUCF","Method1",168.8673683697
"75",2050,"Low-Bioenergy","100%-LCP",72.1172600963007,-0.153389901238549,-2.12695131558967,"Land-based BECCS","Method1",115.806978889622
"76",2050,"Low-Bioenergy","100%-LCP",175.672197184032,-3.62104732346681,-20.6125236748387,"LULUCF","Method1",241.7475620522
"77",2050,"1.5C","50%-LCP",183.221556557448,-1.16473006541119,-6.35694886177869,"Land-based BECCS","Method1",426.432771435473
"78",2050,"1.5C","50%-LCP",115.043725294197,-1.67592218781254,-14.567697486558,"LULUCF","Method1",116.8503790602
"79",2050,"1.5C","100%-LCP",151.318602993777,-0.912288551590003,-6.02892528440485,"Land-based BECCS","Method1",376.871178554579
"80",2050,"1.5C","100%-LCP",189.557933630403,-3.79116453272483,-20.0000309146479,"LULUCF","Method1",208.6563973555
"81",2100,"2C Main","50%-LCP",354.448608991118,-3.13303470309397,-8.8391790054182,"Land-based BECCS","Method1",670.166319750938
"82",2100,"2C Main","50%-LCP",97.9729054431977,-0.717981899978689,-7.32837203031564,"LULUCF","Method1",100.82678663
"83",2100,"2C Main","100%-LCP",302.379015850196,-2.6245073737141,-8.67952879049757,"Land-based BECCS","Method1",577.872094922029
"84",2100,"2C Main","100%-LCP",181.419035703365,-1.89485531712455,-10.4446333857864,"LULUCF","Method1",208.27609200249
"85",2100,"A/R-Focused","50%-LCP",383.487247738953,-3.24787097572437,-8.46930633254134,"Land-based BECCS","Method1",762.86447339579
"86",2100,"A/R-Focused","50%-LCP",399.767982234194,-1.19155739309985,-2.98062237611067,"LULUCF","Method1",583.7409793844
"87",2100,"A/R-Focused","100%-LCP",344.271105510118,-2.78256981025934,-8.08249593336135,"Land-based BECCS","Method1",721.830127441101
"88",2100,"A/R-Focused","100%-LCP",648.285820372011,-2.70962103739314,-4.17967037415419,"LULUCF","Method1",954.3040356739
"89",2100,"Low-Bioenergy","50%-LCP",117.090309307596,-0.877227978474976,-7.49189222970193,"Land-based BECCS","Method1",168.716701395751
"90",2100,"Low-Bioenergy","50%-LCP",192.746226712962,-2.08160210058071,-10.7997035069363,"LULUCF","Method1",302.2913116898
"91",2100,"Low-Bioenergy","100%-LCP",109.900359071541,-0.808890783037222,-7.36021965597644,"Land-based BECCS","Method1",162.490424590883
"92",2100,"Low-Bioenergy","100%-LCP",256.484182632697,-2.87486638285388,-11.2087472737876,"LULUCF","Method1",353.876268206191
"93",2100,"1.5C","50%-LCP",397.579802512625,-4.53879811661629,-11.4160681401117,"Land-based BECCS","Method1",607.843457332887
"94",2100,"1.5C","50%-LCP",118.486810043251,-0.887182272033611,-7.48760365571295,"LULUCF","Method1",122.7011469846
"95",2100,"1.5C","100%-LCP",344.416335183407,-3.91388905449953,-11.3638310808206,"Land-based BECCS","Method1",525.444667233068
"96",2100,"1.5C","100%-LCP",207.185185481508,-2.03012390511136,-9.79859588123184,"LULUCF","Method1",221.07273707977
