Policy_Scenario,LCP_scenario,year,unit,Electricity,Refining,Gas & Hydrogen,Final energy,BECCS: Residue & MSW,BECCS: Purpose-grown,LULUCF
A/R-Focused,50%-LCP,2050,GtCO2 per yr,3.5699984969252823,0.9304042629670531,0.27834653603736037,17.226915520079274,-0.9867202939495605,-1.210898506257351,-0.7869885754027676
A/R-Focused,50%-LCP,2055,GtCO2 per yr,2.855976377547715,0.874529272750365,0.3538697607251069,16.22070717035725,-1.2816572448550128,-1.8020783401181724,-0.9201864743445684
A/R-Focused,50%-LCP,2060,GtCO2 per yr,2.4385169144800787,0.8560959751689158,0.4446058769588157,15.236061377145758,-1.5874205917600102,-2.2863504394554717,-1.3983910925610028
A/R-Focused,50%-LCP,2065,GtCO2 per yr,2.1643035575664977,0.8798519475064013,0.5171251451951868,14.091825255406116,-1.920888791797135,-2.790411191894609,-1.5742487057960022
A/R-Focused,50%-LCP,2070,GtCO2 per yr,2.029353139350439,0.9917664169765756,0.5762281199290882,12.92942268165171,-2.289742168343294,-3.3685506407826598,-1.7979788189255808
A/R-Focused,50%-LCP,2075,GtCO2 per yr,1.9307777822117922,1.0805981658744073,0.6370669504466614,11.532598808339548,-2.7386668564445977,-4.120988505066148,-1.9624283628280148
A/R-Focused,50%-LCP,2080,GtCO2 per yr,1.863752875022369,1.030353685605652,0.6679472252078074,9.656726907511995,-3.219028262945748,-5.549684338583958,-1.3307261842848235
A/R-Focused,50%-LCP,2085,GtCO2 per yr,1.7897902653720519,0.9112572150639779,0.6741323479102939,7.629946335995965,-3.6572601129760094,-7.414797275081405,-1.0044538983550424
A/R-Focused,50%-LCP,2090,GtCO2 per yr,1.7161912207095997,0.833410581024028,0.6683975899968574,6.079258678695818,-3.946795069943542,-8.279479043564884,-1.995878601767618
A/R-Focused,50%-LCP,2095,GtCO2 per yr,1.6496437686345589,0.7226893759214164,0.6254812110440701,4.523780676047278,-4.170995026390085,-8.96731230619002,-1.6261925662887668
A/R-Focused,50%-LCP,2100,GtCO2 per yr,1.5602944188676107,0.5993002363004025,0.5546176650518517,3.0550419424367568,-4.3529810270514195,-9.582594120426677,-1.3628914640966725
A/R-Focused,100%-LCP,2020,GtCO2 per yr,12.96581198752448,1.062429552700508,0.11959588939806931,24.352425873801216,-1.1596799316666667e-5,0,0.7327794983173471
A/R-Focused,100%-LCP,2025,GtCO2 per yr,12.436247463657265,1.0884780468736974,0.07116789579795374,23.938632871073278,-0.009107012593398854,-0.0028165059549051475,2.521178251419567
A/R-Focused,100%-LCP,2030,GtCO2 per yr,10.585821734789665,1.0828169442283304,0.10430252977968374,23.011185547628777,-0.055763576362220145,-0.02306185918027231,-2.5766625078807714
A/R-Focused,100%-LCP,2035,GtCO2 per yr,8.473035737395696,1.0638560722245065,0.1481772141160333,21.39059502665306,-0.1674527552183172,-0.08453035037156148,-4.483241085945844
A/R-Focused,100%-LCP,2040,GtCO2 per yr,6.952006688289777,1.0598046086219708,0.1874717066481867,19.985117005327282,-0.3276319865198571,-0.21458689299476247,-5.044012032793523
A/R-Focused,100%-LCP,2045,GtCO2 per yr,5.312837926829018,1.0349807191325877,0.24371643741701254,18.88778699789843,-0.5863581142025975,-0.486348674860738,-4.095998043948004
A/R-Focused,100%-LCP,2050,GtCO2 per yr,4.017235142195453,0.9709763248629758,0.29912497709891483,17.78978871307118,-0.8742795719392044,-0.9236481405599788,-3.279031726426547
A/R-Focused,100%-LCP,2055,GtCO2 per yr,3.159573342171572,0.9240218271881049,0.3714804620980331,16.868821563924634,-1.1479035787907736,-1.3744915707658403,-2.995582115243853
A/R-Focused,100%-LCP,2060,GtCO2 per yr,2.6366477822792245,0.9103003631202167,0.4341663825477574,15.88780862931235,-1.4241481789604196,-1.8682474892826673,-2.8254537672536113
A/R-Focused,100%-LCP,2065,GtCO2 per yr,2.2948057936970696,0.9501974344704814,0.5005779697207794,14.78567669509152,-1.7441615617051018,-2.389364901688056,-2.8254948693310067
A/R-Focused,100%-LCP,2070,GtCO2 per yr,2.1209828618214637,1.0779221547546354,0.5650062110314698,13.693926067972969,-2.0926749832516505,-2.9007735324028685,-2.9748131098013832
A/R-Focused,100%-LCP,2075,GtCO2 per yr,1.9913371249298195,1.1779199631353205,0.6345799028197209,12.365078525702,-2.512501844892697,-3.566115402158571,-3.0466987771840253
A/R-Focused,100%-LCP,2080,GtCO2 per yr,1.907026479731495,1.1807336363516818,0.6862121224847545,10.822665895962304,-2.9724705578974273,-4.344917690262597,-3.2346452300273003
A/R-Focused,100%-LCP,2085,GtCO2 per yr,1.820835723642861,1.0713517246356394,0.7030651185863831,8.869436862475917,-3.423646985741766,-5.785799548822967,-2.634646117830788
A/R-Focused,100%-LCP,2090,GtCO2 per yr,1.7320816894875701,0.9261377394830359,0.6919283540752887,6.9246778879982545,-3.775635104995978,-7.5071310255240435,-2.26074000112712
A/R-Focused,100%-LCP,2095,GtCO2 per yr,1.6647604930205304,0.82121938948828,0.6600512816675944,5.4145978313466205,-4.0042411400096425,-8.258049361306938,-3.0780837689985074
A/R-Focused,100%-LCP,2100,GtCO2 per yr,1.5778630838500662,0.6952885076360635,0.5970191386228318,3.9493348757669513,-4.179852265049396,-8.912913300107649,-2.502672670644219
Low-Bioenergy,No-LCP,2020,GtCO2 per yr,12.965816614011946,1.0624299210746695,0.1195957484930853,24.352429686078803,-1.1596799316666667e-5,0,0.7327794277698094
Low-Bioenergy,No-LCP,2025,GtCO2 per yr,10.262926394961752,1.0565136103313344,0.034416982759747805,22.959665675620453,-0.04178318696394657,-0.015290647080548102,2.904297620436585
Low-Bioenergy,No-LCP,2030,GtCO2 per yr,5.285986009550548,1.0160277933396382,0.09173267813668212,21.282577065706242,-0.2397878734935062,-0.11737175777587247,1.9164764322796832
Low-Bioenergy,No-LCP,2035,GtCO2 per yr,2.8374207426835505,0.9511657347628336,0.18938258052982576,18.771171107470053,-0.5056311053031514,-0.29600540720876434,1.9947808956323902
Low-Bioenergy,No-LCP,2040,GtCO2 per yr,2.353923449463834,0.9190206063594818,0.2915212214951848,16.64932245011417,-0.7093732277205503,-0.498857790562405,2.2076732933049055
Low-Bioenergy,No-LCP,2045,GtCO2 per yr,2.145291292311283,0.8799290016162535,0.39958543273849656,15.069336306399435,-0.89326533261743,-0.7151300107190696,2.428619584335361
Low-Bioenergy,No-LCP,2050,GtCO2 per yr,2.0413556833884714,0.8186012563167991,0.47849740810312663,13.673779447083914,-1.0581082864725042,-0.9389420916440036,2.3027026323857256
Low-Bioenergy,No-LCP,2055,GtCO2 per yr,1.9614227128289292,0.7663207674467869,0.5312823071284787,12.429348062326829,-1.2970720766041872,-1.131875464819157,1.9966156461586462
